k,Test Loss,Test Accuracy
1,0.45261597633361816,0.8315022587776184
5,0.4118834435939789,0.8456469178199768
10,0.40542566776275635,0.8480008244514465
12,0.3960554897785187,0.8500615954399109
14,0.36621004343032837,0.857552170753479
15,0.37526801228523254,0.8559346199035645
16,0.3722831904888153,0.8563475012779236
18,0.3607540726661682,0.8605369329452515
20,0.34949642419815063,0.8650963306427002
22,0.3533147871494293,0.8672571778297424
24,0.34512558579444885,0.8680936694145203
25,0.3461739122867584,0.8671606779098511
26,0.34978702664375305,0.8652339577674866
28,0.35153689980506897,0.8626441955566406
30,0.3696848750114441,0.8603403568267822
40,0.3603454530239105,0.8600651025772095
60,0.3851061761379242,0.8500829935073853
70,0.37084197998046875,0.8537755608558655
80,0.37999460101127625,0.8528479933738708
90,0.37491220235824585,0.8523778915405273
100,0.37972623109817505,0.847963273525238
110,0.3965158760547638,0.8483368158340454
120,0.38577529788017273,0.8476755023002625
128,0.42073726654052734,0.8267104625701904
